alg,n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
sa,145,37.1864,1.6251,34.334,36.0565,36.9992,38.4277,40.2506
csa,150,656.425,5.33646,645.183,652.959,656.406,659.775,668.278
fmi,150,624.882,7.61439,604.735,619.686,625.257,629.6,647.123
sa,150,37.8885,1.57553,35.2067,36.7115,37.7669,38.9001,42.3266
csa,155,678.876,4.47472,670.903,675.025,678.818,681.311,689.636
fmi,155,644.533,7.76256,624.594,640.198,644.961,649.777,662.092
sa,155,38.3847,1.55286,35.1999,37.2358,38.3318,39.5181,42.5799
csa,160,700.462,5.14502,688.888,697.329,700.991,703.799,709.101
fmi,160,666.445,8.24719,639.483,662.168,666.619,670.886,685.312
sa,160,38.7675,1.67602,35.941,37.6843,38.3667,39.7649,43.0251
csa,165,721.371,5.55725,706.893,717.014,720.309,724.936,736.034
fmi,165,686.536,8.08442,669.425,680.072,685.73,692.447,705.162
sa,165,39.4853,1.60424,36.35,38.5677,39.4315,40.5548,44.8145
csa,170,743.621,5.61919,731.373,740.189,742.951,748.584,762.463
fmi,170,707.29,8.49088,684.609,701.667,707.552,712.087,727.235
sa,170,39.9165,1.66459,36.4035,38.7437,40.0698,40.7767,45.409
csa,175,764.421,5.84519,747.514,761.75,764.354,768.505,779.514
fmi,175,726.121,11.3726,705.052,718.793,725.874,732.288,772.672
sa,175,41.0465,1.81792,36.983,39.7897,41.066,42.5155,44.5613
csa,180,785.907,7.15725,772.705,782.264,785.217,788.13,809.206
fmi,180,745.043,9.88206,725.212,739.388,743.609,750.201,774.016
sa,180,41.5352,1.92665,36.5833,40.3677,41.4633,42.9307,46.7462
csa,185,807.354,7.33956,789.421,802.829,808.036,811.682,823.722
fmi,185,763.698,9.28568,738.004,758.679,764.73,769.983,786.126
sa,185,42.0613,2.09679,38.5194,40.6838,41.6251,43.0949,47.4966
csa,190,829.559,5.91003,817.004,826.103,829.655,833.441,840.703
fmi,190,788.563,9.82011,768.097,781.073,788.57,795.174,815.061
sa,190,42.2067,2.10269,38.0796,40.8319,41.9707,43.4969,47.2131
csa,195,850.613,7.1731,832.605,846.438,851.225,855.03,867.684
fmi,195,808.381,12.6126,775.232,800.318,808.298,815.466,852.171
sa,195,43.1521,1.84209,39.6283,41.7796,43.0489,44.2638,48.8176
csa,200,871.635,8.18587,851.253,865.788,871.805,875.914,898.526
fmi,200,827.308,11.6484,793.005,820.156,827.95,834.098,853.252
sa,200,43.8437,2.10232,39.4251,42.2806,43.896,45.6463,48.4978
csa,205,893.852,6.5274,879.189,889.567,894.435,897.802,911.469
fmi,205,846.028,10.416,824.076,837.901,845.905,852.719,870.735
sa,205,44.2069,1.90718,41.006,42.8729,44.1751,45.4395,48.7768
csa,210,913.957,11.1917,891.71,908.207,913.007,918.385,980.069
fmi,210,866.778,13.7705,820.882,859.115,867.6,874.584,910.126
sa,210,45.3236,2.23233,41.3401,43.7391,45.055,46.6549,50.8188
csa,215,934.787,6.23314,917.869,930.287,934.724,939.163,946.877
fmi,215,887.616,18.884,863.825,877.905,884.632,892.42,1015.35
sa,215,45.5441,2.53854,40.511,43.6715,44.9884,47.5338,50.7214
csa,220,957.556,7.63536,942.541,952.843,956.666,962.129,989.546
fmi,220,906.846,12.5374,882.248,897.648,905.683,915.177,950.761
sa,220,46.1738,2.22338,42.447,44.351,46.1537,47.9404,50.4779
csa,225,978.723,7.30166,963.254,973.553,979.799,983.726,995.494
fmi,225,925.099,10.3491,904.963,918.039,924.144,931.616,947.976
sa,225,46.6587,2.31288,42.7072,44.848,46.4128,48.1713,52.5762
csa,230,999.725,6.60393,981.685,995.511,1000.63,1004.3,1016.15
fmi,230,947.508,10.1861,924.035,939.398,947.989,956.295,965.629
sa,230,47.0232,1.98626,43.589,45.7104,46.8023,48.595,50.8613
csa,235,1021.62,7.86956,1002.77,1016.55,1021.53,1025.89,1038.68
fmi,235,968.298,11.8807,941.737,960.299,968.76,974.845,1014.1
sa,235,47.3809,1.96287,43.7527,46.1161,47.34,48.3182,53.6919
csa,240,1044.28,8.85449,1011.88,1038.69,1044.73,1051.15,1060.61
fmi,240,988.5,14.0679,950.825,978.086,987.262,999.227,1014.78
sa,240,47.6423,2.56327,43.4016,45.6593,47.1679,49.13,55.7501
csa,245,1064.73,8.71558,1042.11,1058.91,1065.79,1070.3,1084.12
fmi,245,1009.46,12.3438,977.388,1003.19,1010.26,1018.66,1030.92
sa,245,48.869,2.85679,44.1408,46.4473,49.1466,50.7805,56.4787
csa,250,1086.24,9.61231,1066.97,1078.9,1084.51,1092.32,1110.78
fmi,250,1028.72,14.0499,996.855,1020.11,1029.66,1040.03,1056.22
sa,250,48.9759,2.60802,44.2463,47.0726,48.828,50.2072,55.4499
