alg,n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
csa,225,1356.33,17.6108,1315.47,1345.13,1354.94,1369.93,1396.96
fmi,225,789.424,6.41846,775.714,785.101,789.716,793.425,806.97
csa,230,1391.35,16.9385,1342.69,1381.07,1392.28,1401.67,1430.74
fmi,230,808.683,6.54018,789.79,804.484,808.833,812.822,821.919
csa,235,1425.51,16.372,1384.46,1414.48,1426.54,1437.6,1461.88
fmi,235,827.48,6.00244,813.141,824.016,828.052,832.099,837.705
csa,240,1452.46,17.8135,1410.44,1440,1450.46,1468.67,1481.67
fmi,240,844.051,7.36521,824.307,839.973,844.855,849.547,855.836
csa,245,1478.58,20.1041,1425.81,1467.08,1479.02,1491.01,1531.34
fmi,245,859.723,7.58628,838.669,854.576,860.128,864.994,876.184
csa,250,1508.75,22.6141,1456.12,1496.85,1510.8,1526.6,1553.74
fmi,250,877.272,9.23818,851.195,872.906,878.619,883.693,893.404
