alg,n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
fmi,145,353.646,1.87466,349.239,352.262,353.651,354.775,359.77
sa,145,38.9968,0.57274,37.8243,38.5938,38.975,39.3923,40.507
csa,150,904.185,6.07859,887.677,899.798,904.507,909.291,916.152
fmi,150,365.501,1.59858,361.087,364.679,365.604,366.405,369.233
sa,150,39.3949,0.531797,38.2388,39.0698,39.4222,39.6543,41.0125
csa,155,932.261,6.95122,912.087,927.998,932.629,937.259,946.483
fmi,155,377.575,1.99815,372.987,376.499,377.571,378.688,384.721
sa,155,39.985,0.598473,38.9459,39.5614,39.9902,40.31,42.7128
csa,160,963.551,5.52016,951.803,960.013,963.205,967.196,978.101
fmi,160,389.576,1.43551,385.092,388.569,389.669,390.381,392.975
sa,160,40.4374,0.6685,38.8743,40.0615,40.3922,40.6689,42.5726
csa,165,992.969,6.10827,980.09,988.767,992.79,997.192,1010.24
fmi,165,401.639,1.60846,396.427,400.536,401.464,402.762,405.362
sa,165,40.8751,0.591626,39.6836,40.428,40.8525,41.3139,42.2787
csa,170,1022.9,6.76284,1007.4,1017.81,1023.36,1027.13,1038.97
fmi,170,413.495,1.6942,409.041,412.516,413.413,414.208,417.507
sa,170,41.4181,0.615148,40.11,40.9669,41.4031,41.7493,43.305
csa,175,1052.27,8.2377,1029.94,1046.91,1052.12,1057.31,1069.81
fmi,175,425.332,1.98011,420.987,424.173,425.566,426.631,430.15
sa,175,41.8289,0.577505,40.4074,41.3962,41.8218,42.0959,43.3607
csa,180,1084.25,7.93059,1068.08,1079.59,1083.11,1089.01,1105.75
fmi,180,438.647,2.12361,434.506,437.439,438.423,439.989,444.473
sa,180,42.1952,0.569477,41.0047,41.7112,42.1668,42.5453,43.4631
csa,185,1113.71,8.93623,1095.55,1105.85,1113.94,1121.03,1130.36
fmi,185,450.632,3.05435,445.47,448.98,450.253,452.244,466.497
sa,185,42.7483,0.656798,41.4278,42.345,42.7007,43.1516,44.5568
csa,190,1143.33,7.42174,1127.96,1139.57,1143.09,1146.43,1163.07
fmi,190,462.179,1.78535,458.846,460.903,462.075,463.128,467.53
sa,190,43.0632,0.586427,41.9024,42.6911,42.9468,43.5096,44.5303
csa,195,1173.87,7.90211,1151.27,1169.41,1174,1179.85,1189.36
fmi,195,474.485,2.14378,468.951,472.856,474.276,476.189,478.816
sa,195,43.4667,0.612441,42.4567,42.9975,43.3887,43.7228,45.7116
csa,200,1203.6,7.91257,1181.93,1198.3,1205.42,1209.71,1216.72
fmi,200,486.524,2.39043,480.881,484.901,486.783,487.695,496.363
sa,200,44.0193,0.617168,42.5876,43.5332,43.9459,44.4406,45.5631
csa,205,1232.96,9.06669,1214.85,1226.88,1234.06,1239.89,1248.79
fmi,205,498.141,2.41154,493.562,496.267,498.396,499.961,502.846
sa,205,44.3661,0.588176,43.2374,43.9382,44.2834,44.6766,46.2219
csa,210,1262.9,8.29683,1244.32,1257.31,1262.35,1268.82,1280.54
fmi,210,510.419,2.01894,504.19,509.384,510.508,512.18,514.214
sa,210,44.754,0.532,43.5608,44.4122,44.6727,45.0036,46.0892
csa,215,1291.97,8.33251,1275.35,1285.67,1290.87,1297.48,1310.99
fmi,215,522.102,2.28268,517.41,520.396,522.198,523.869,527.185
sa,215,45.3488,0.573137,44.3485,44.8819,45.3616,45.6831,46.7753
csa,220,1321.31,8.81255,1296.59,1314.89,1321.72,1328.88,1339.63
fmi,220,534.187,2.51806,528.27,532.958,534.253,535.402,544.679
sa,220,45.7823,0.637032,44.4021,45.3696,45.6716,46.1634,47.3728
csa,225,1351.9,10.0768,1327.07,1347.07,1350.49,1358.1,1375.07
fmi,225,546.137,3.31727,540.67,544.163,545.877,547.829,560.382
sa,225,46.3157,0.618675,44.9458,45.9264,46.3692,46.7215,47.9143
csa,230,1381.85,9.11412,1356.16,1376.74,1382.27,1390.09,1396.56
fmi,230,558.568,2.05331,553.653,557.154,558.777,559.82,562.423
sa,230,46.6984,0.486372,45.874,46.4107,46.6484,46.8968,48.2603
csa,235,1410.75,9.43829,1388.37,1403.11,1410.14,1417.61,1432.76
fmi,235,570.35,2.81852,564.794,568.341,569.873,572.318,576.494
sa,235,47.0646,0.616062,45.7711,46.6694,47.0971,47.4783,48.5431
csa,240,1441.2,9.51581,1413.56,1437.07,1443.06,1448.64,1455.36
fmi,240,582.53,2.7347,575.587,581.008,582.844,584.032,591.402
sa,240,47.7351,0.781904,46.4469,47.1941,47.6437,48.1935,50.1464
csa,245,1472.41,9.70168,1451.84,1464.85,1473.08,1480.38,1492.04
fmi,245,594.555,2.29842,589.847,592.563,594.702,596.218,599.279
sa,245,47.935,0.531377,47.1058,47.5681,47.8519,48.2428,49.7043
csa,250,1500.84,7.94241,1476.84,1496.45,1501.81,1506.28,1517.49
fmi,250,606.773,2.00852,600.075,605.408,606.9,608.063,611.706
sa,250,48.4614,0.618541,47.2646,48.0049,48.4645,48.846,50.0039
