alg,n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
csa,170,939148,10574.2,914107,932758,939413,945681,961909
fmi,170,827505,9131.07,806961,821525,827017,834067,844206
sa,170,47834.2,0,43263.7,46381.9,47771,49015.1,53657.3
csa,175,967193,8328.53,947960,961796,967668,972753,984338
fmi,175,852758,7304.63,834447,847953,852728,856755,877226
sa,175,48262.1,0,44722.1,46913.9,48261.8,49650.2,53499.3
csa,180,996526,11221.6,970170,988196,997264,1.00545e+06,1.01867e+06
fmi,180,879818,10789.9,858384,870014,880604,886786,909322
sa,180,49340.4,0,44192.1,47578.1,49347.7,51470.4,53655.5
csa,185,1.0227e+06,11370.6,997189,1.01584e+06,1.02369e+06,1.02958e+06,1.05038e+06
fmi,185,900878,9279.39,877512,897338,901506,905863,921827
sa,185,49687.7,0,45876.6,47790.6,49647.9,51522.4,54532.1
csa,190,1.05205e+06,10019.7,1.02931e+06,1.04531e+06,1.05164e+06,1.05798e+06,1.07685e+06
fmi,190,925837,7785.36,908516,920128,926255,931804,940277
sa,190,50272.1,0,45190.3,48202.3,50244,51759.4,57626.1
csa,195,1.07709e+06,11577.2,1.04437e+06,1.06999e+06,1.07639e+06,1.08305e+06,1.1048e+06
fmi,195,948320,9324.85,921892,941242,949025,955111,969671
sa,195,50803.3,0,46743.4,49101.2,50663.9,52761.4,56684.8
csa,200,1.10483e+06,11962.8,1.08246e+06,1.09695e+06,1.10428e+06,1.11281e+06,1.14132e+06
fmi,200,972049,10134.1,947048,965740,971884,978217,1.00098e+06
sa,200,51847.6,0,46999,50066.6,51966.4,53489,59026.2
csa,205,1.13579e+06,12958.6,1.10718e+06,1.12882e+06,1.13535e+06,1.14528e+06,1.16386e+06
fmi,205,1.00102e+06,10829.2,974526,993116,1.00233e+06,1.00719e+06,1.02834e+06
sa,205,52378.4,0,48031.7,50539.7,52646.5,53725.2,57013.5
csa,210,1.1581e+06,13645,1.13162e+06,1.14596e+06,1.16004e+06,1.16609e+06,1.18864e+06
fmi,210,1.01905e+06,11263.1,997266,1.01093e+06,1.01833e+06,1.02673e+06,1.04698e+06
sa,210,53402.4,0,48787.9,51224.2,53363.3,55345.7,59334.3
csa,215,1.1877e+06,13092.2,1.15463e+06,1.17844e+06,1.18779e+06,1.19913e+06,1.20891e+06
