FMI,sources,8.64082e+10,55.2461
CSA,sources,1.11697e+11106.768
SA,sources,6.09935e+11,1809.88
FMI,dna,1.85778e+11,94.6081
CSA,dna,2.36009e+11257.798
SA,dna,1.42914e+12,3466.94
FMI,proteins,5.70422e+11,503.868
CSA,proteins,6.90389e+11819.776
SA,proteins,4.09902e+12,10162.8
FMI,genome,1.59527e+12,818.969
CSA,genome,1.94826e+122163.81
