alg,n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
sa,165,41188.3,0,39974.7,40675,41010.8,41579,42969.2
csa,170,1.02574e+06,6985.67,1.01311e+06,1.02156e+06,1.0252e+06,1.02877e+06,1.0527e+06
fmi,170,426162,2080.69,421272,424620,425938,427427,432754
sa,170,41404.5,0,39974.5,41069.6,41386.1,41790.7,43087.2
csa,175,1.05609e+06,7886.24,1.03272e+06,1.05092e+06,1.05615e+06,1.06188e+06,1.07071e+06
fmi,175,439244,3212.1,433441,437300,438946,440861,454124
sa,175,41899.9,0,40748.2,41426.5,41923.1,42257.7,44260.2
csa,180,1.08777e+06,7590.49,1.07224e+06,1.08154e+06,1.08866e+06,1.09304e+06,1.1044e+06
fmi,180,452132,2694.88,447016,450149,452198,453612,458980
sa,180,42371.7,0,41427.8,41995,42287.2,42797.2,43720.3
csa,185,1.11846e+06,8456.09,1.0913e+06,1.11452e+06,1.11831e+06,1.12343e+06,1.14888e+06
fmi,185,463480,2713.7,458199,462251,463311,464488,477954
sa,185,42586.1,0,41599.8,42112.9,42609.8,42900.4,44173.4
csa,190,1.14764e+06,7097.3,1.1341e+06,1.14168e+06,1.14729e+06,1.15232e+06,1.167e+06
fmi,190,476634,2923.33,471325,474745,476530,478025,489212
sa,190,43140.3,0,41496.9,42843,43190.6,43535.1,44697.4
csa,195,1.1771e+06,7241.82,1.15758e+06,1.17293e+06,1.177e+06,1.18282e+06,1.18997e+06
fmi,195,488398,2387.76,483591,486556,488656,489751,496560
sa,195,43628.4,0,42593.9,43242.4,43614.4,43880.4,45495.7
csa,200,1.2044e+06,9895.31,1.16903e+06,1.19886e+06,1.20339e+06,1.21117e+06,1.23597e+06
fmi,200,500309,2661.99,494321,498246,500659,501927,507712
sa,200,44212.3,0,42951.7,43726.2,44138.5,44660.3,45807.4
csa,205,1.23563e+06,7194.13,1.22002e+06,1.23225e+06,1.23595e+06,1.24105e+06,1.25244e+06
fmi,205,512762,1895.32,507786,511445,512991,513801,517808
sa,205,44878.1,0,43137.7,44058.9,44400.9,44906.2,68521.6
csa,210,1.26671e+06,9635.17,1.24295e+06,1.26046e+06,1.26691e+06,1.27357e+06,1.28674e+06
fmi,210,525632,3145.15,520390,523251,525257,527453,538382
sa,210,45035.7,0,43498,44561.4,45048.7,45396.6,46582
csa,215,1.29606e+06,8959.04,1.27639e+06,1.29099e+06,1.297e+06,1.30144e+06,1.31842e+06
fmi,215,537144,2920.62,530734,535218,536692,539350,544122
sa,215,45414.2,0,43668.9,45054.3,45447.2,45807.1,46938
csa,220,1.32659e+06,8266.36,1.30893e+06,1.32147e+06,1.3266e+06,1.3318e+06,1.34984e+06
fmi,220,550808,2678.09,543658,549161,550933,552502,556838
sa,220,45947.5,0,44634.6,45615.6,45961.9,46343.1,47174.1
csa,225,1.35641e+06,9171.14,1.33236e+06,1.351e+06,1.35701e+06,1.3615e+06,1.38566e+06
fmi,225,561928,2596.7,555436,560011,562010,563512,568475
sa,225,46460.7,0,45589.7,45959.6,46419.7,46828.2,48150.6
csa,230,1.3849e+06,10668.6,1.3515e+06,1.37944e+06,1.38435e+06,1.3908e+06,1.41508e+06
fmi,230,574077,3901.55,564278,571153,574188,576305,584113
sa,230,46980.1,0,45663.3,46511.6,46851.2,47384.4,49141.5
csa,235,1.41708e+06,9789.59,1.38074e+06,1.41108e+06,1.41853e+06,1.42304e+06,1.43816e+06
fmi,235,588144,4538.37,579101,585269,587513,589944,608240
sa,235,47053.9,0,46049.1,46676.3,46934.4,47300.4,49090.3
csa,240,1.44329e+06,10029.7,1.41906e+06,1.43731e+06,1.44258e+06,1.4486e+06,1.46652e+06
fmi,240,600214,2896.56,593709,598345,599919,601901,608518
sa,240,47761.3,0,46542.4,47397.6,47709.2,48088.5,49505.1
csa,245,1.47685e+06,9327.79,1.45266e+06,1.4705e+06,1.47569e+06,1.48257e+06,1.50386e+06
fmi,245,612133,3117.53,605361,609516,612073,614153,620016
sa,245,48098.6,0,46712.5,47749.4,48051.1,48351.7,49744.3
csa,250,1.50757e+06,10097.1,1.47916e+06,1.50069e+06,1.50652e+06,1.51549e+06,1.53291e+06
fmi,250,624750,2865.43,616890,622785,624869,626572,632062
sa,250,48515.1,0,47457,48177,48479,48835.4,50110.4
